Stock_Name,Beta,Cluster
FSLR,1.2392922351390885,3
FE,0.6590649934460856,2
FIS,1.0022691736675498,0
FISV,1.0077885876157031,0
FLT,1.0769298425342644,0
FMC,1.1112014727758028,0
F,1.2121733436044757,3
FTNT,1.2110420253698444,3
FTV,1.1167130423962088,0
FOXA,1.086168887020722,0
FOX,1.1153567372172946,0
BEN,1.2838630342203663,3
FCX,1.658996037831428,1
GRMN,0.9186314011373372,0
IT,1.0030461944105067,0
GEHC,1.3528300851201416,3
GEN,0.7976870332749073,2
GNRC,1.286444804742963,3
GD,0.8898694020195675,0
GE,1.1115625710913162,0
GIS,0.42360460075531553,2
GM,1.234285049986794,3
GPC,0.9474675505908078,0
GILD,0.7305816430499056,2
GL,1.0587542574095512,0
GPN,1.1732614201614304,0
GS,1.2045131218333105,3
HAL,1.4649552145706357,1
HIG,1.2456040360656597,3
HAS,0.9061630365815402,0
HCA,1.0211952784116576,0
PEAK,0.9049682325153989,0
HSIC,0.8345575971088802,0
HSY,0.5368868756816303,2
HES,1.3627897523161578,3
HPE,1.2433097862785951,3
HLT,1.0344087883492836,0
HOLX,0.9139943835013448,0
HD,0.9553331752722708,0
HON,1.0587087632758914,0
HRL,0.4812860475933541,2
HST,1.2618769677010926,3
HWM,1.509430463665819,1
HPQ,1.1693446052559862,0
HUM,0.8269874618686914,0
HBAN,1.2604544411965908,3
HII,0.7980180791003731,2
IBM,0.8344126159719469,0
IEX,1.0241830674509071,0
IDXX,0.9920882135630429,0
ITW,1.0446889004712072,0
ILMN,1.1360147362649695,0
INCY,1.0529970509665665,0
IR,1.2925526562840586,3
PODD,1.0842852113033998,0
INTC,1.1287189087830065,0
ICE,0.8927425882692125,0
IFF,0.929100717187137,0
IP,1.1573011949830612,0
IPG,1.2333303063506407,3
INTU,1.2050725434209184,3
ISRG,1.1225263251617723,0
IVZ,1.5955305867648173,1
INVH,0.9865028480816108,0
IQV,1.0900943458103167,0
IRM,0.8473379600261602,0
JBHT,0.9153932114013295,0
JKHY,0.8272311654099543,0
J,1.1287513225013601,0
JNJ,0.5849888643066335,2
JCI,0.9617442845918825,0
JPM,1.214222188554563,3
JNPR,1.0196319951260575,0
K,0.4131235752724759,2
KDP,0.5414303892635931,2
KEY,1.3960735253003498,1
KEYS,1.127520348391583,0
KMB,0.4886228700432965,2
KIM,1.0976538283089365,0
KMI,0.9292231769059232,0
KLAC,1.4060020588868825,1
KHC,0.7671566954801137,2
KR,0.4512119721160363,2
LHX,0.8778730869495653,0
LH,0.8435363380368001,0
LRCX,1.5046924662765135,1
